"name","x","y","z","class"
"AACS",0.029517319447323,0.00498719012005009,-0.0560162998684696,"SARS-GSE56192"
"AAK1",0.0297546849965929,-0.327583013813013,-0.0711562464328107,"SARS-COV2-GSE120934"
"AAMP",0.0292314824171853,0.348719116547063,-0.0506255119626823,"common"
"AAR2",0.606517345928979,-0.000365056144285224,-0.0397369631578046,"common"
"AARS1",-0.978650279510513,-0.0172099816325877,0.0135005355662516,"MERS-GSE139516"
"AARSD1",0.0279783935624951,0.121971169148057,-0.419256652236836,"SARS-GSE56192"
"AASDHPPT",0.0301885563506429,-0.0460379856827315,0.102419094381738,"SARS-GSE56192"
"AATF",0.0294632855133106,0.191972850906426,-0.0273911569950651,"common"
"ABALON",0.0311999367423274,-0.122919727485,0.341140252740216,"SARS-GSE56192"
"ABAT",0.0297423444804123,-0.405314465967225,-0.0918692500106053,"SARS-COV2-GSE120934"
"ABCA1",0.0298832070097222,-0.0175989369364177,0.00836369772319598,"MERS-GSE56192"
"ABCB10",0.0298392416153838,0.205029129123136,0.0707682502345974,"SARS-COV2-GSE120934"
"ABCB6",0.029759841824715,-0.295100763267291,-0.0625007414458,"SARS-COV2-GSE120934"
"ABCB8",0.0298889710965411,-0.0501314904508748,0.154012355326937,"SARS-COV2-GSE147507"
"ABCB9",0.0291979509014879,0.354422454349435,-0.0578263941429033,"common"
"ABCC3",1.09579300058469,-0.0163811750498738,0.00970588606086094,"MERS-GSE139516"
"ABCD3",0.0303570309878613,-0.0588448619731473,0.142185003313208,"SARS-GSE56192"
"ABCD4",0.0292184826027678,0.0331027099049388,-0.149255831754279,"common"
"ABCE1",0.0304515461642976,-0.0660295883638459,0.164493891825223,"SARS-GSE56192"
"ABCF1",0.0293501469184575,0.0176950845051279,-0.0954748656708053,"SARS-GSE56192"
"ABCF2",0.0298364874175523,0.187680762666326,0.0661454525570766,"SARS-COV2-GSE120934"
"ABCF3",0.0295106365936661,0.165944467630288,-0.0212895368242169,"common"
"ABCG1",0.0298343375848061,0.174139220415959,0.0625370546009412,"SARS-COV2-GSE120934"
"ABHD10",0.0297526243470723,-0.340562801471455,-0.0746149543400674,"SARS-COV2-GSE120934"
"ABHD11",0.029350536834404,0.0732865934582467,-0.35384847752972,"SARS-COV2-GSE147507"
"ABHD15",0.0298624493787176,-0.0397272123123752,0.109566963250517,"SARS-COV2-GSE147507"
"ABHD16A",0.0292903796929266,0.0222383883295723,-0.109582022016655,"SARS-GSE56192"
"ABHD17A",0.0297557812006384,-0.0163246342501944,0.013661540558557,"MERS-GSE56192"
"ABHD17C",0.0294286700942699,0.0244697608742331,-0.130530484197742,"common"
"ABHD2",0.0299443365905728,-0.419024599562461,0.0459137835679298,"cov2-common"
"ABHD4",0.029135446858741,-0.238040090113561,-0.20770849511335,"common"
"ABHD6",0.0299619064823146,-0.0183859592049042,0.00509169623450083,"MERS-GSE56192"
"ABHD8",0.0298572240285894,0.318298223482985,0.100950925222768,"SARS-COV2-GSE120934"
"ABI2",0.029733088714197,-0.463615442862172,-0.107404638962534,"SARS-COV2-GSE120934"
"ABL1",0.777856285087478,0.355175487573197,0.0442174872338613,"cov2-common"
"ABR",0.0294850977414003,0.00743657602424759,-0.0636217498310992,"SARS-GSE56192"
"ABT1",0.0297603080651485,-0.0163699044795685,0.0134733320874161,"MERS-GSE56192"
