"name","x","y","z","class"
"AACS",0.000317350654340188,-0.0220441588658884,-0.0675027958223087,"SARS-GSE56192"
"AAK1",-7.57253759294423e-05,0.310445553246402,-0.0840386676930994,"SARS-COV2-GSE120934"
"AAMP",0.000767177913205995,-0.365731010358498,-0.0606576018544995,"common"
"AAR2",-0.576689980522638,-0.0169143268937226,-0.051450482398086,"common"
"AARS1",1.00845334891308,0.000903577705623569,0.00216571217207834,"MERS-GSE139516"
"AARSD1",0.00202077802450112,-0.140369497259794,-0.429834205553213,"SARS-GSE56192"
"AASDHPPT",-0.000425637246669083,0.0295660807894683,0.0905361427913536,"SARS-GSE56192"
"AATF",0.000452943931989541,-0.208909819974068,-0.0381156079113364,"common"
"ABALON",-0.00154512783281401,0.107329362485403,0.328659945052466,"SARS-GSE56192"
"ABAT",-9.46658492430051e-05,0.388094368381456,-0.105058466184844,"SARS-COV2-GSE120934"
"ABCA1",-9.45376183284766e-05,0.000897614518987165,-0.00310273539572529,"MERS-GSE56192"
"ABCB10",5.40538292724373e-05,-0.221600364839443,0.0599879728560014,"SARS-COV2-GSE120934"
"ABCB6",-6.78105720427846e-05,0.27799783487892,-0.0752549599132049,"SARS-COV2-GSE120934"
"ABCB8",-0.000149654127393522,0.0339155586560991,0.142325419488761,"SARS-COV2-GSE147507"
"ABCB9",0.000805600891943317,-0.371460692739847,-0.0678260854657181,"common"
"ABCC3",-1.06598796902948,-0.000955128925216166,-0.00228927111234692,"MERS-GSE139516"
"ABCD3",-0.000612120761596683,0.0425198030292421,0.1302025447988,"SARS-GSE56192"
"ABCD4",0.000641015569382632,-0.0503822144744301,-0.160321906253577,"common"
"ABCE1",-0.000716739015162016,0.0497869107863096,0.15245560939194,"SARS-GSE56192"
"ABCF1",0.000502392873732243,-0.0348977642559766,-0.106862623770667,"SARS-GSE56192"
"ABCF2",4.98266308501404e-05,-0.204270441590002,0.0552967036595935,"SARS-COV2-GSE120934"
"ABCF3",0.000391236932583944,-0.182860657941718,-0.0321315010786568,"common"
"ABCG1",4.65270241592901e-05,-0.190743295477304,0.0516348591747452,"SARS-COV2-GSE120934"
"ABHD10",-7.88881024056273e-05,0.323411541973631,-0.0875486049641132,"SARS-COV2-GSE120934"
"ABHD11",0.000668497958527834,-0.0919578264161826,-0.36597174528002,"SARS-COV2-GSE147507"
"ABHD15",-0.000102930336561069,0.0233267196029241,0.0978897380534769,"SARS-COV2-GSE147507"
"ABHD16A",0.000568548839274008,-0.0394931624200705,-0.120934479534375,"SARS-GSE56192"
"ABHD17A",5.75962964741061e-05,-0.000546864548410927,0.00189031700705609,"MERS-GSE56192"
"ABHD17C",0.000398680057094722,-0.0415144523949944,-0.141388873204305,"common"
"ABHD2",-0.000373882204917521,0.402552067689845,0.0330515676375451,"cov2-common"
"ABHD4",0.000627304909139884,0.220401694423333,-0.220055611867446,"common"
"ABHD6",-0.000188497067709,0.00178973944715021,-0.00618649522075987,"MERS-GSE56192"
"ABHD8",8.1653600015404e-05,-0.334749041787018,0.0906177047444911,"SARS-COV2-GSE120934"
"ABI2",-0.000108871786047616,0.446333364973564,-0.120823960746459,"SARS-COV2-GSE120934"
"ABL1",-0.747882594719385,-0.372200872935453,0.0338642840953976,"cov2-common"
"ABR",0.000353016657702046,-0.0245216298698628,-0.0750892145355106,"SARS-GSE56192"
"ABT1",5.21916643618501e-05,-0.000495548719437013,0.00171293636586726,"MERS-GSE56192"
"ABTB1",0.00181664796911708,-0.12618999169191,-0.386414255849835,"SARS-GSE56192"
"AC000041.1",-0.000305607977582242,0.00290168255395424,-0.0100300886147332,"MERS-GSE56192"
"AC002094.2",-1.32591303103817,0.0545402539642108,0.167801083361232,"common"
"AC002347.2",0.000230523131363787,-0.392455771682766,0.110326058315768,"common"
"AC002524.1",-0.000730410800217139,0.0507365952996818,0.155363697661117,"SARS-GSE56192"
"AC002985.1",0.0023679554926734,-0.134266360568969,-0.379955509870336,"common"
"AC004079.1",-0.00217034383191469,1.39480918980531,0.0534152265210306,"common"
"AC004079.2",-0.00153668298030168,0.106742756887353,0.326863663409138,"SARS-GSE56192"
"AC004079.5",-0.00164001272139281,0.113920360579143,0.348842652013238,"SARS-GSE56192"
"AC004264.1",-0.000185538229819953,0.00176164591258167,-0.00608938582440654,"MERS-GSE56192"
"AC004477.2",-0.00191818257775793,0.129899694855334,0.394323369542179,"common"
"AC004528.2",-0.00263724225971312,0.183191011412351,0.560960638828702,"SARS-GSE56192"
"AC004542.1",-0.00218852031339065,0.152021395922164,0.465514212267612,"SARS-GSE56192"
"AC004542.2",-0.00113791172229818,0.0790428708390449,0.242042112104064,"SARS-GSE56192"
"AC004542.4",0.00257226727009972,-0.582943370808812,-2.44630084469023,"SARS-COV2-GSE147507"
"AC004551.1",0.0009144220550568,-0.207232071609754,-0.869641919287068,"SARS-COV2-GSE147507"
"AC004556.3",1.14645843539812,0.00102723074276697,0.00246208611533662,"MERS-GSE139516"
"AC004585.1",0.000162762654920888,-0.667265653482512,0.180631083066369,"SARS-COV2-GSE120934"
"AC004707.2",-0.00182759979167514,0.126950739190108,0.388743788283149,"SARS-GSE56192"
"AC004854.2",-2.00853799863051,-0.00179965702768145,-0.0043134520762952,"MERS-GSE139516"
"AC004918.5",-0.000148637983894129,0.60935981600722,-0.164955775811398,"SARS-COV2-GSE120934"
"AC004974.1",-0.0013231389810441,0.0919093296354749,0.281441299270853,"SARS-GSE56192"
"AC005041.5",0.00186903576114903,-0.129829009902181,-0.397557520817941,"SARS-GSE56192"
