"name","x","y","z","class"
"AACS",-0.0909836360292609,-0.323530785835011,0.136668642204099,"SARS-GSE56192"
"AAK1",1.12960272043083,0.750268407330178,0.107103384287452,"PBMC common"
"AAMP",-0.769119835518147,0.29688799771058,0.201435282720929,"common"
"AAR2",0.666251871432207,-0.279430879287358,0.329768907686387,"common"
"AARS1",0.37901681548048,0.035376248477943,0.0150453243692776,"MERS-GSE139516"
"AARSD1",-2.03963811343096,-1.82673859640284,1.2670104648424,"SARS-GSE56192"
"AASDHPPT",-0.214859274451308,-0.419089454328868,0.208524282359024,"SARS-GSE56192"
"AATF",-0.338984153807151,0.134619047797193,0.093902843144933,"common"
"ABALON",-1.49551284460867,-1.40699596706221,0.951383679675113,"SARS-GSE56192"
"ABAT",-0.0359521815729441,1.11528682525086,-0.296497688980893,"SARS-COV2-GSE120934"
"ABCA1",0.147143019495434,-0.456357535236123,-1.43356288943494,"MERS-GSE56192"
"ABCA2",1.59573595910442,-0.203167111579235,0.356629405518354,"PBMC"
"ABCB1",1.51772217945655,-0.193755721964644,0.33125442037575,"PBMC"
"ABCB10",0.0961833055079976,0.618170768415195,-0.201009039666614,"SARS-COV2-GSE120934"
"ABCB6",0.0514242930795488,0.786561745417909,-0.233354458265748,"SARS-COV2-GSE120934"
"ABCB8",0.0678573974404441,0.175379177328376,0.142798868891652,"SARS-COV2-GSE147507"
"ABCB9",-0.814676392962919,0.272947538577463,0.22464198944332,"common"
"ABCC3",0.385119343360487,0.0398752551190646,0.0201207447882899,"MERS-GSE139516"
"ABCD1",1.57805907850436,-0.201034616380968,0.350879772766057,"PBMC"
"ABCD3",-0.428189142628161,-0.58365383851792,0.332268986622726,"SARS-GSE56192"
"ABCD4",-0.701948540369477,-1.12173969851944,-0.988028651231165,"common"
"ABCE1",-0.547868344570756,-0.675975342000934,0.401690430405858,"SARS-GSE56192"
"ABCF1",-0.30266471832431,-0.486823283271321,0.259456947239313,"SARS-GSE56192"
"ABCF2",0.109936941079998,0.566427264578717,-0.191069877122591,"SARS-COV2-GSE120934"
"ABCF3",-0.257001707371675,0.118208661629672,0.069235909569869,"common"
"ABCG1",0.120672559194709,0.526038052999169,-0.183311706354282,"SARS-COV2-GSE120934"
"ABHD10",0.0153823805815016,0.922157517739617,-0.259400402615533,"SARS-COV2-GSE120934"
"ABHD11",-0.628239752347621,-0.664468592464226,-3.4467841301851,"SARS-COV2-GSE147507"
"ABHD15",0.976527122717007,0.00511960155336429,0.349958339970351,"PBMC common"
"ABHD16A",-0.378344562806094,-0.545203326858763,0.303356003916916,"SARS-GSE56192"
"ABHD17A",0.195952635078871,-0.295022876472868,-0.902269904425399,"MERS-GSE56192"
"ABHD17AP6",1.44882424096921,-0.185444044903575,0.308844479806744,"PBMC"
"ABHD17C",-0.752184274641455,-1.60521875550385,-2.97106969956548,"common"
"ABHD2",-0.401870085340389,0.658587172024811,-2.08296398930909,"cov2-common"
"ABHD4",-0.733600587807335,0.146907778115577,0.231801909252522,"common"
"ABHD6",0.0229968229198445,-0.866708733905986,-2.78489505150604,"MERS-GSE56192"
"ABHD8",0.00638454265189731,0.956008906268357,-0.265902754176249,"SARS-COV2-GSE120934"
"ABI2",-0.0821726941324947,1.28917621300067,-0.329899271042051,"SARS-COV2-GSE120934"
"ABL1",-0.249632929717614,0.817860095966734,-0.0231852695240683,"cov2-common"
"ABR",-0.131784152892825,-0.355004634244655,0.160335501121869,"SARS-GSE56192"
"ABRACL",1.01505522053505,-0.133115222066483,0.167755527335522,"PBMC"
"ABT1",0.203093636064408,-0.271419106120275,-0.82454006197096,"MERS-GSE56192"
"ABTB1",-1.80612129119111,-1.64660183272272,1.13155606103283,"SARS-GSE56192"
"AC000041.1",-0.131738801161871,-1.37816982228657,-4.46919333214206,"MERS-GSE56192"
"AC002094.2",-0.505151974490573,-0.647826417183894,0.575335157107774,"common"
"AC002347.2",-0.216907980723855,0.534425956119431,-2.24137325077847,"common"
"AC002524.1",-0.563508333471029,-0.688040155822332,0.410762604957372,"SARS-GSE56192"
"AC002985.1",-2.5261470537201,-3.88919633889845,-6.08439792252051,"common"
"AC004079.1",-2.86195126423776,2.09217251029,0.435630856597877,"common"
"AC004079.2",-1.48585226268577,-1.39954371610159,0.945779936217708,"SARS-GSE56192"
"AC004079.5",-1.60405745661017,-1.49072815788819,1.01434636289586,"SARS-GSE56192"
"AC004264.1",0.0269062590929038,-0.853786535208086,-2.74234081318105,"MERS-GSE56192"
"AC004477.2",-1.93215805142198,-1.93048153534233,0.360143510495229,"common"
"AC004528.2",-2.74484915626538,-2.37074409351943,1.67607710274374,"SARS-GSE56192"
"AC004542.1",-2.23152874993242,-1.97476458403121,1.37831906999825,"SARS-GSE56192"
"AC004542.2",-1.0296734957013,-1.04764372895733,0.681167638397899,"SARS-GSE56192"
"AC004542.4",-3.23767976360093,3.71831010175375,3.65098792766455,"SARS-COV2-GSE147507"
"AC004551.1",-0.975631040684549,1.29380782495812,1.25026024150343,"SARS-COV2-GSE147507"
"AC004556.3",1.333801965387,-0.0672492891450435,0.333014471072359,"PBMC common"
"AC004585.1",-0.257512315578203,1.94883353251209,-0.456609695266479,"SARS-COV2-GSE120934"
"AC004687.1",1.75550767754001,-0.222441576915708,0.408597211716323,"PBMC"
"AC004707.2",-1.81864974907391,-1.65626638637356,1.13882335242919,"SARS-GSE56192"
"AC004854.2",0.485092851872472,0.113579380290739,0.103267859629733,"MERS-GSE139516"
"AC004918.1",1.8000386492362,-0.227813683310769,0.423081482960159,"PBMC"
